We do not believe that we should c her ry - p ick ||| Wir glau ben nicht , daß wir nur R os in en heraus p ick en sollten
But this is not what happ ens ||| Das stimm t nicht !
Of course , if a d ru g add ict bec om es a p us her , then it is right and necessary that he should pay and answer before the law also ||| S icher - wenn ein D ro gen abhäng iger zum De aler wird , dann ist es richtig und notwendig , daß er dafür auch vor dem Gesetz zur Rech en schaft ge zogen wird
Commissioner , ladies and gentlemen , I should like to begin by thank ing Mr B ur t one for his report ||| Herr Kommissar , liebe Kolleginnen und Kollegen ! Zunächst her z lichen Dank , Herr B ur t on e , für Ihren Bericht
' L eg al d ru g s ' ( tr an qu ill i z ers ) find ing their way on to an i l leg al market , especially when used in comb in ation with al c o h ol , are a major and serious problem particularly for y oun g people ||| Die in den i lleg alen Handel gel ang ten so gen annten leg alen D ro gen bzw. Ber u h ig ungs mittel sind vor allem in Zusammenhang mit Al k oh ol ein g ra v ier end es Problem , spezie ll für Ju gend liche
I should like to take this opportunity to express my than ks to Mr T it le y ||| Ge stat ten Sie mir , meine Ant wort ung eb ühr licher weise auch dazu zu ben utzen , Herrn Abgeordneten T it le y zu dan ken
It was a very difficult position and I therefore am de light ed about the new agreement ||| Die Situation war also sehr schwier ig , und daher wird das neue Ab kommen von mir begrüß t
We must accept that , in the real m of b lo od and pl as m a colle ction , the system s v ary and oper ate on m i x ed bas es ||| Wir müssen im Bereich des B l ut - und P la s m as p ende w es ens akzep tieren , daß es unter schied liche und gem isch te System e gibt
The Min utes of yesterday ' s sitting have been dist rib ut ed ||| Das Protok oll der gest rigen Sitz ung wurde ver teil t
To this end the O ost la nder report takes substan ti al note of the European Commission guidelines which are very clear , very precise and do not le ave ro om for sub jec tive inter p ret ation ||| In dem Bericht O o st la nder wird in diesem Zusammenhang im wesentlichen an erk annt , daß die von der Kommission fest geleg ten Grundsätz e und Leitlinien sehr klar und p rä z is e sind und keinen Raum für eine s ub jek tive Inter p ret ation l assen
Europe should not get over amb iti ous by tr ying to manage public health policy ||| Europa mach t es eine N u mmer zu groß , wenn es eine allgemein e Re gelung der Ges undheit spolitik an st re bt
In any event , the N ational Fr on t demand s that the pe op les of Europe should be direct ly consult ed in a refer end um to dec ide on the appro val or re jec tion of M a ast r ich t II ||| Die F r on t n ational forder t auf jeden Fall , daß die V ölk er schon morgen d ir ekt in einem Re fer end um über Ann ahme oder Ab l eh nung von M a ast richt II bef rag t werden
The auth ors of the report consider that enlargement to the e ast is u nd ou b ted ly possible in the ory , but will be far more difficult in practice ||| Die Ver f ass er der Stellungnahme vert reten die Meinung , daß die O ster weiter ung t he or e ti sch zwar möglich , doch p rakti sch sehr viel weniger möglich sein dür fte
