We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
But this is not what happens . ||| Das stimmt nicht !
Of course , if a drug addict becomes a pusher , then it is right and necessary that he should pay and answer before the law also . ||| Sicher - wenn ein Drogenabhängiger zum Dealer wird , dann ist es richtig und notwendig , daß er dafür auch vor dem Gesetz zur Rechenschaft gezogen wird .
Commissioner , ladies and gentlemen , I should like to begin by thanking Mr Burtone for his report . ||| Herr Kommissar , liebe Kolleginnen und Kollegen ! Zunächst herzlichen Dank , Herr Burtone , für Ihren Bericht .
' Legal drugs ' ( tranquillizers ) finding their way on to an illegal market , especially when used in combination with alcohol , are a major and serious problem particularly for young people . ||| Die in den illegalen Handel gelangten sogenannten legalen Drogen bzw. Beruhigungsmittel sind vor allem in Zusammenhang mit Alkohol ein gravierendes Problem , speziell für Jugendliche .
I should like to take this opportunity to express my thanks to Mr Titley . ||| Gestatten Sie mir , meine Antwort ungebührlicherweise auch dazu zu benutzen , Herrn Abgeordneten Titley zu danken .
It was a very difficult position and I therefore am delighted about the new agreement . ||| Die Situation war also sehr schwierig , und daher wird das neue Abkommen von mir begrüßt .
We must accept that , in the realm of blood and plasma collection , the systems vary and operate on mixed bases . ||| Wir müssen im Bereich des Blut- und Plasmaspendewesens akzeptieren , daß es unterschiedliche und gemischte Systeme gibt .
The Minutes of yesterday 's sitting have been distributed . ||| Das Protokoll der gestrigen Sitzung wurde verteilt .
To this end the Oostlander report takes substantial note of the European Commission guidelines which are very clear , very precise and do not leave room for subjective interpretation . ||| In dem Bericht Oostlander wird in diesem Zusammenhang im wesentlichen anerkannt , daß die von der Kommission festgelegten Grundsätze und Leitlinien sehr klar und präzise sind und keinen Raum für eine subjektive Interpretation lassen .
Europe should not get over ambitious by trying to manage public health policy . ||| Europa macht es eine Nummer zu groß , wenn es eine allgemeine Regelung der Gesundheitspolitik anstrebt .
In any event , the National Front demands that the peoples of Europe should be directly consulted in a referendum to decide on the approval or rejection of Maastricht II . ||| Die Front national fordert auf jeden Fall , daß die Völker schon morgen direkt in einem Referendum über Annahme oder Ablehnung von Maastricht II befragt werden .
The authors of the report consider that enlargement to the east is undoubtedly possible in theory , but will be far more difficult in practice . ||| Die Verfasser der Stellungnahme vertreten die Meinung , daß die Osterweiterung theoretisch zwar möglich , doch praktisch sehr viel weniger möglich sein dürfte .
I would ask you , Members of the European Parliament present here , to support this amendment by Mrs Stenius-Kaukonen which all members of the Finnish parliament across party boundaries support . ||| Auch ich bitte die hier anwesenden Mitglieder des Europäischen Parlaments , diesen Antrag von Marjatta SteniusKaukonen zu unterstützen , den alle finnischen Parlamentarier über die Parteigrenzen hinweg befürworten .
They are silting up . ||| Sie versanden .
France was the first to take diplomatic and humanitarian action . ||| Frankreich hat als erstes auf diplomatischer und humanitärer Ebene reagiert .
